,commune_id,commune_name,tranche,nb_foyers,revenue_reference,impot net,nb_foyers_imposes,revenue_reference_impose,nb_foyers_salaire,montant_salaire,nb_foyers_retraite,montant_retraite
,239,Saint-André-de-Sangonis,15 001 à 20 000,606,"10,481",2,173,"3,131",429,"8,507",195,"3,805"
,239,Saint-André-de-Sangonis,20 001 à 30 000,742,"17,999",216,312,"7,597",510,"13,368",277,"6,719"
,239,Saint-André-de-Sangonis,30 001 à 50 000,688,"26,463",681,432,"17,039",497,"20,822",254,"8,210"
,239,Saint-André-de-Sangonis,50 001 à 100 000,341,"21,934","1,514",307,"19,881",286,"17,470",95,"4,100"
,239,Saint-André-de-Sangonis,+ de 100 000,58,"7,847","1,134",n.c.,n.c.,46,"4,588",14,783
,239,Saint-André-de-Sangonis,Total,"3,759","94,978","3,454","1,295","55,352","2,510","73,083","1,232","27,895"
,240,Saint-Aunès,0 à 10 000,350,"1,591",-12,n.c.,n.c.,199,"1,344",72,568
,240,Saint-Aunès,10 001 à 12 000,88,978,-7,n.c.,n.c.,57,704,31,424
,240,Saint-Aunès,12 001 à 15 000,120,"1,611",-5,n.c.,n.c.,94,"1,429",27,427
,240,Saint-Aunès,15 001 à 20 000,307,"5,395",15,122,"2,226",235,"4,537",77,"1,497"
,240,Saint-Aunès,20 001 à 30 000,444,"10,831",216,264,"6,437",326,"8,305",130,"3,008"
,240,Saint-Aunès,30 001 à 50 000,499,"19,363",738,361,"14,221",343,"13,417",186,"6,476"
,240,Saint-Aunès,50 001 à 100 000,471,"31,567","2,367",444,"29,892",395,"25,427",125,"5,725"
,240,Saint-Aunès,+ de 100 000,124,"22,677","3,824",n.c.,n.c.,109,"12,342",23,"1,071"
,240,Saint-Aunès,Total,"2,403","94,015","7,136","1,316","75,244","1,758","67,504",671,"19,196"
,241,Saint-Bauzille-de-la-Sylve,Total,563,"16,835",655,219,"11,032",342,"10,602",214,"4,985"
,242,Saint-Bauzille-de-Montmel,Total,684,"26,500","1,832",379,"20,640",471,"18,954",234,"6,774"
,243,Saint-Bauzille-de-Putois,0 à 10 000,234,"1,031",-17,n.c.,n.c.,109,788,56,502
,243,Saint-Bauzille-de-Putois,10 001 à 12 000,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.
,243,Saint-Bauzille-de-Putois,12 001 à 15 000,120,"1,600",-6,n.c.,n.c.,85,"1,342",39,589
,243,Saint-Bauzille-de-Putois,15 001 à 20 000,201,"3,450",-3,52,928,140,"2,782",64,"1,260"
,243,Saint-Bauzille-de-Putois,20 001 à 30 000,233,"5,709",81,117,"2,867",156,"4,245",87,"2,049"
,243,Saint-Bauzille-de-Putois,30 001 à 50 000,197,"7,568",226,124,"4,942",135,"5,357",83,"2,718"
,243,Saint-Bauzille-de-Putois,50 001 à 100 000,84,"5,284",374,n.c.,n.c.,70,"4,223",n.c.,"1,071"
,243,Saint-Bauzille-de-Putois,+ de 100 000,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.
,243,Saint-Bauzille-de-Putois,Total,"1,153","26,418",809,384,"14,648",750,"20,043",384,"8,724"
